date,skq_ret,hynix_ret,nav_total_trillion,nav_implied_ret,divergence,nav_discount_pct,nav_discount_delta,sector_semiconductor,kospi_ret,usd_krw,foreign_net,institution_net,shorting_balance,shorting_balance_ratio,shorting_volume_ratio,shorting_balance_change,fut_listed,fut_basis,fut_basis_pct,fut_volume,foreign_own_pct,individual_net,nav_total_trillion_v1,nav_implied_ret_v1,divergence_v1,nav_discount_pct_v1,nav_discount_delta_v1,nav_implied_ret_raw,nav_per_share,skq_shares_v2,skq_ret_v1
20211129,,,,,,,,-0.39,-0.92,1193.0,-33405256300.0,-15062767600.0,,,,,0.0,,,,43.1875,51981697100.0,,,,,,,,,
20211130,-10.53,-1.72,23.26,,,58.6,,-1.72,-2.42,1193.4,-28544429900.0,-55422611900.0,101293.0,0.07,0.36,,0.0,,,,42.90625,87279459500.0,21.93,-1.36,-9.17,59.0,4.2,,164413.0,141467571.0,-10.53
20211201,-7.79,2.19,23.71,1.94,-9.73,62.6,4.0,1.85,2.14,1187.7,-48150968500.0,-17299573100.0,222542.0,0.16,6.58,121249.0,0.0,,,,42.78125,64212023900.0,22.3,1.68,-9.47,62.9,3.9,1.94,167610.0,141467571.0,-7.79
20211202,9.57,3.0,24.24,2.22,7.35,59.9,-2.7,1.6,1.57,1180.3,10145622900.0,-8536994100.0,336132.0,0.24,6.77,113590.0,0.0,,,,42.3125,-1458405000.0,22.81,2.3,7.27,60.2,-2.7,2.22,171333.0,141467571.0,9.57
20211203,-3.93,-1.67,24.0,-0.98,-2.95,61.1,1.2,0.24,0.78,1177.3,-25528049100.0,-27227059500.0,500518.0,0.35,1.08,164386.0,0.0,,,,42.4375,51421408800.0,22.52,-1.27,-2.66,61.3,1.1,-0.98,169651.0,141467571.0,-3.93
20211206,0.0,0.42,23.98,-0.06,0.06,61.1,-0.0,0.87,0.17,1178.6,-80750798000.0,40534294900.0,503919.0,0.36,3.8,3401.0,0.0,,,,42.15625,36169361600.0,22.6,0.35,-0.35,61.4,0.1,-0.06,169541.0,141467571.0,0.0
20211207,-0.61,2.53,24.39,1.71,-2.32,62.0,0.9,0.47,0.62,1183.7,-42843244900.0,85050400.0,18455.0,0.01,0.48,-485464.0,0.0,,,,41.28125,39877338300.0,23.04,1.94,-2.55,62.4,1.0,1.71,172439.0,141467571.0,-0.61
20211208,-1.52,-1.23,24.2,-0.81,-0.71,62.2,0.3,-0.08,0.34,1181.2,-21804619800.0,-528538600.0,14935.0,0.01,1.13,-3520.0,0.0,,,,40.8125,21743291600.0,22.83,-0.88,-0.64,62.6,0.2,-0.81,171039.0,141467571.0,-1.52
20211209,0.77,2.92,24.74,2.23,-1.46,62.8,0.5,0.25,0.93,1176.4,-48479775100.0,28551763800.0,0.0,0.0,0.83,-14935.0,0.0,,,,40.5625,19648872000.0,23.36,2.3,-1.53,63.2,0.6,2.23,174852.0,141467571.0,0.77
20211210,-2.76,-2.43,24.31,-1.72,-1.04,63.2,0.4,-0.42,-0.64,1173.8,-17194028700.0,-8376600300.0,21658.0,0.02,0.86,21658.0,0.0,,,,40.0,25349714800.0,22.95,-1.73,-1.03,63.6,0.4,-1.72,171851.0,141467571.0,-2.76
20211213,-0.47,0.83,24.44,0.54,-1.01,63.5,0.4,0.82,-0.28,1178.2,-11315491300.0,-1598103100.0,21658.0,0.02,1.27,0.0,0.0,,,,39.8125,12674122200.0,23.08,0.56,-1.03,64.0,0.4,0.54,172772.0,141467571.0,-0.47
20211214,-3.81,-0.41,24.35,-0.37,-3.44,64.8,1.3,-0.36,-0.46,1178.8,-22446192700.0,-8893397700.0,21972.0,0.02,0.37,314.0,0.0,,,,39.65625,31981339300.0,23.01,-0.33,-3.48,65.2,1.2,-0.37,172138.0,141467571.0,-3.81
20211215,-3.96,2.07,24.72,1.52,-5.48,66.7,1.9,0.31,0.05,1183.6,-29974869000.0,-10439440700.0,29342.0,0.02,1.01,7370.0,0.0,,,,39.40625,40418574200.0,23.36,1.54,-5.5,67.1,1.9,1.52,174758.0,141467571.0,-3.96
20211216,-3.09,0.4,24.78,0.22,-3.31,67.8,1.1,0.77,0.57,1186.2,-38915691200.0,-3479531000.0,33450.0,0.02,2.3,4108.0,0.0,,,,39.03125,41107718400.0,23.45,0.38,-3.47,68.2,1.1,0.22,175137.0,141467571.0,-3.09
20211217,1.06,-1.61,24.55,-0.93,1.99,67.2,-0.6,-1.83,0.38,1183.5,-23420399400.0,-223091800.0,78038.0,0.06,1.98,44588.0,0.0,,,,38.4375,22903793100.0,23.17,-1.2,2.26,67.5,-0.7,-0.93,173511.0,141467571.0,1.06
20211220,2.46,-1.23,24.31,-0.98,3.44,66.0,-1.1,-1.75,-1.81,1184.4,-18478507800.0,13059897200.0,116648.0,0.08,0.81,38610.0,0.0,,,,38.1875,4098750200.0,22.94,-1.0,3.46,66.4,-1.1,-0.98,171813.0,141467571.0,2.46
20211221,4.28,3.32,24.93,2.58,1.7,65.4,-0.6,1.91,0.41,1189.8,-21597640700.0,22809529200.0,103056.0,0.07,0.39,-13592.0,0.0,,,,37.96875,-1521441300.0,23.52,2.54,1.74,65.8,-0.6,2.58,176241.0,141467571.0,4.28
20211222,7.88,2.01,25.29,1.43,6.45,63.2,-2.2,0.6,0.32,1191.5,11752379200.0,34522743300.0,98046.0,0.07,0.19,-5010.0,0.0,,,,37.6875,-49553747200.0,23.88,1.53,6.35,63.7,-2.1,1.43,178767.0,141467571.0,7.88
20211223,-1.22,0.39,25.37,0.33,-1.55,63.8,0.6,1.53,0.46,1191.2,-6358486700.0,11456826000.0,62668.0,0.04,0.66,-35378.0,0.0,,,,37.875,-4639344800.0,23.94,0.27,-1.49,64.2,0.5,0.33,179359.0,141467571.0,-1.22
20211224,1.39,0.39,25.43,0.23,1.16,63.4,-0.4,-0.47,0.48,1187.5,10516252400.0,2649297000.0,116036.0,0.08,1.04,53368.0,0.0,,,,37.96875,-13781091600.0,24.03,0.34,1.05,63.8,-0.4,0.23,179776.0,141467571.0,1.39
20211227,-0.91,-1.56,25.09,-1.36,0.45,63.2,-0.2,-0.49,-0.43,1186.4,199270800.0,7075241300.0,118040.0,0.08,0.25,2004.0,0.0,,,,38.09375,-6858214800.0,23.73,-1.24,0.33,63.7,-0.1,-1.36,177329.0,141467571.0,-0.91
20211228,-0.61,1.19,25.3,0.86,-1.47,63.8,0.5,1.2,0.69,1186.2,10662621000.0,4339791900.0,114986.0,0.08,1.17,-3054.0,0.0,,,,38.25,-13654784200.0,23.96,0.99,-1.6,64.3,0.6,0.86,178852.0,141467571.0,-0.61
20211229,-0.46,-0.39,25.24,-0.22,-0.24,63.9,0.1,0.17,-0.89,1186.7,1343739600.0,-7495504000.0,112210.0,0.08,0.07,-2776.0,0.0,,,,38.40625,5632547200.0,23.91,-0.22,-0.24,64.4,0.1,-0.22,178450.0,141467571.0,-0.46
20211230,2.95,3.15,25.86,2.42,0.53,63.7,-0.2,1.27,-0.52,1186.6,12687452700.0,-6434666500.0,120242.0,0.08,1.61,8032.0,0.0,,,,38.40625,-6096416000.0,24.5,2.46,0.49,64.2,-0.2,2.42,182771.0,141467571.0,2.95
20220103,0.15,,26.34,-1.31,1.46,64.3,0.6,,,1185.5,1454664400.0,26149200.0,121158.0,0.09,1.14,916.0,0.0,,,,38.5625,-1363854100.0,24.13,,,63.6,,1.86,186178.0,141467571.0,
20220104,5.26,0.0,26.35,0.06,5.2,62.4,-1.9,-1.66,0.02,1190.8,20218009500.0,24679482400.0,122580.0,0.09,3.61,,0.0,,,,38.5625,-42356414600.0,24.13,-0.0,5.26,61.7,-1.9,0.06,186282.0,141467571.0,5.26
20220105,-3.43,-2.33,25.92,-1.63,-1.8,63.1,0.7,-2.98,-1.18,1194.3,-13427099900.0,531981100.0,83156.0,0.06,1.63,-39424.0,0.0,,,,38.6875,16376710600.0,23.68,-1.87,-1.56,62.3,0.6,-1.63,183254.0,141467571.0,-3.43
20220106,-8.73,-0.4,25.8,-0.48,-8.25,66.2,3.1,-2.02,-1.13,1198.2,-11754718000.0,-28488973400.0,21878.0,0.02,4.82,-61278.0,0.0,,,,38.5625,39193252800.0,23.6,-0.37,-8.36,65.5,3.2,-0.48,182382.0,141467571.0,-8.73
20220107,-1.13,1.6,26.12,1.24,-2.37,67.0,0.8,1.15,1.18,1199.6,-19866479700.0,-2602021000.0,51698.0,0.04,2.9,29820.0,0.0,,,,38.40625,26997120000.0,23.9,1.28,-2.41,66.3,0.8,1.24,184638.0,141467571.0,-1.13
20220110,-5.74,-1.97,25.71,-1.59,-4.15,68.4,1.4,-1.9,-0.95,1202.4,,,47608.0,0.03,3.51,-4090.0,0.0,,,,38.15625,38167724400.0,23.52,-1.58,-4.16,67.7,1.7,-1.59,181707.0,141467571.0,-5.74
